Doctor Name,About the Doctor
Prof. Dr. med. Jens-Uwe Blohmer,"Prof. Dr. med. Jens-Uwe Blohmer is a renowned specialist in gynecology and obstetrics, with a particular focus on gynecological oncology. He studied at the prestigious University Hospital Charite in Berlin and is currently the director of the gynecology clinic and breast center at the same hospital. He is also a breast surgeon with expertise in plastic and reconstructive operations in gynecology. Dr. Blohmer has made significant contributions to the field of breast cancer research, having led numerous scientific studies on surgery and drug therapy for breast cancer. He is a member of the German Cancer Society and the German Society for Senology. With over 314 scientific publications to his name, his expertise, and dedication to advancing breast cancer treatment are evident. Patients can trust Dr. Blohmer's extensive experience and knowledge in gynecology and breast cancer. His involvement in multidisciplinary care and his role as the head of a breast center demonstrates his commitment to providing comprehensive and specialized treatment options. Additionally, his membership in professional societies reflects his dedication to staying updated with the latest advancements and best practices in his field. Patients in Germany, particularly in Berlin, can rely on Prof. Dr. med. Jens-Uwe Blohmer and the expertise he brings as a highly-skilled gynecologist and breast cancer specialist."
"Prof. Dr. med. Wolfgang Ertel, FACS","Prof. Dr. med. Wolfgang Ertel, FACS is an experienced doctor with 38 years of expertise in orthopedic and trauma surgery, hand surgery, and spinal surgery. He currently works at the Department of Orthopedic and Trauma Surgery with the Spinal Center at the University Hospital Charite in Berlin, Germany. Prof. Dr. Ertel has an impressive career history, including various fellowships and positions at renowned institutions such as the Ludwig-Maximilians-University Hospital Munich, University Hospital Zurich, and Balgrist University Hospital. He has also served as a professor for trauma surgery and as the director of the clinic for trauma and reconstructive surgery at the University Hospital Charite in Berlin. With over 360 scientific publications to his name, Prof. Dr. Ertel has made significant contributions to the field of orthopedic and trauma surgery. His research focuses on genetic predisposition for adverse outcomes in trauma patients, enhancing physical activity in patients with knee osteoarthritis, and the effects of vibration on chondrocytes. Prof. Dr. Ertel's extensive experience, dedication to research, and contributions to the field make him a highly skilled and sought-after doctor in orthopedic and trauma surgery. Patients can trust in his expertise and innovative approach to provide them with the best possible care."
Prof. Dr. med. Andreas Greiner,"Prof. Dr. med. Andreas Greiner is a highly experienced and accomplished vascular surgeon based in Berlin, Germany. With over 18 years of experience in the field, he has established an impressive reputation for his expertise in vascular surgery and general surgery. Currently, he serves as the Professor of Vascular Surgery and Director of Vascular Surgery at the University Hospital Charite in Berlin. Prof. Dr. Andreas Greiner's career highlights include his roles as Head Senior Physician and Adjunct Professor of Surgery at Innsbruck University Hospital and RWTH Aachen University Hospital, as well as his specialist certifications in general surgery and vascular surgery. His vast knowledge and experience have resulted in 579 scientific publications, showcasing his commitment to advancing medical knowledge and improving patient outcomes. Doctor's research interests and publications demonstrate his dedication to enhancing treatment techniques and outcomes in vascular surgery. Prof. Dr. Andreas Greiner's extensive experience, specialized expertise in vascular surgery, and numerous scientific papers make him a highly reputable and valuable figure in his field. Patients can trust in his knowledge, skills, and commitment to providing excellent healthcare."
Prof. Dr. med. Stefan Mundlos,"Prof. Dr. med. Stefan Mundlos is a highly experienced doctor specializing in molecular and human genetics, as well as cell biology. With over 26 years of experience, he has made significant contributions to the field through his extensive research and numerous scientific publications (668 in total). Prof. Mundlos completed his medical studies at prestigious institutions such as the University of Gottingen, the University of California San Diego, the University of Marburg, the Walter and Eliza Hall Institute in Melbourne, and the University of Heidelberg. Currently working at the Institute of Medical and Human Genetics at the University Hospital Charite in Berlin, Prof. Mundlos is widely recognized for his expertise in rare diseases. He has been involved in research for the National Action Alliance for people living with rare diseases. His research focuses on understanding the genetic basis of various disorders and developing novel treatments. In addition to his clinical and research work, Prof. Mundlos has played a significant role in various scientific organizations. He has served as a council member for the Human Genome Organization and as a panel member for European Research Council consolidator grants. His contributions to the field have been recognized internationally, and he has been a member of the Editorial Board for PLOS Genetics. Prof. Dr. med. Stefan Mundlos is highly regarded in the medical community for his expertise in molecular and human genetics. His extensive experience, research contributions, and involvement in scientific organizations make him an exceptional doctor in his field."
Prof. Dr. med. Ulrich Keilholz,"Prof. Dr. Ulrich Keilholz is a highly experienced and renowned doctor specializing in oncology, hematology, and biological cancer therapy. With over 40 years of experience, he has made significant contributions to the field through his research and clinical practice. He works at the University Hospital Charite in Berlin, specifically at the Comprehensive Cancer Center. Prof. Dr. Keilholz's impressive career includes various notable positions, such as Deputy Director and Acting Director of the Charite Comprehensive Cancer Center. He has also held academic roles as Associate Professor of Internal Medicine and Professor of Clinical and Molecular Tumor Immunology. His expertise has been recognized internationally, as he has served as Chair and President of several scientific organizations focused on cancer therapy and research. With 21 scientific publications, Prof. Dr. Keilholz has contributed to advancing knowledge and understanding in cancer treatment. His research interests include personalized medicine, molecular profiling, and the development of innovative treatment approaches. His dedication to improving patient care and translational research is evident in his extensive body of work. Overall, Prof. Dr. Ulrich Keilholz's vast experience, significant contributions to the field, and commitment to advancing cancer treatment make him a highly respected and trusted doctor in oncology. His expertise and dedication ensure that his patients receive the best possible care and contribute to the ongoing development of effective cancer therapies."
Dr. med.  Georg Bohner,"Dr. med. Georg Bohner is a neuroradiologist working at the Institute of Neuroradiology at the University Hospital Charite Berlin, Germany. With 249 scientific publications, Dr. Bohner has made significant contributions to neuroimaging. His research focuses on cerebral circulation times, CT angiography, and stroke imaging. He has demonstrated the feasibility and benefits of various imaging techniques, including multi-slice CT angiography and contrast-enhanced MR venography, in diagnosing and evaluating cerebrovascular diseases. Dr. Bohner's expertise and experience in neuroimaging make him a valuable asset in the field, providing accurate diagnoses and helping patients receive the most appropriate treatment. With his dedication to research and patient care, Dr. Bohner continues to strive for advancements in neuroradiology, improving outcomes for individuals with neurological conditions."
Prof. Dr. med. Ingo Fietze,"Prof. Dr. med. Ingo Fietze is a highly esteemed doctor specializing in internal medicine, pulmonology, and sleep medicine. With an impressive career spanning 23 years, he currently serves as the Director of the Interdisciplinary Center of Sleep Medicine at the University Hospital Charite in Berlin, Germany. Dr. Fietze's expertise and contributions to the field of sleep medicine are widely recognized. He has published a remarkable 489 scientific publications, focusing on topics such as the effects of sleep apnea treatment, brain aging and white matter hyperintensities, and the use of AI in preventative PAP therapy. His research showcases his commitment to advancing the understanding and treatment of sleep disorders. In addition to his academic achievements, Dr. Fietze has authored several books and holds the prestigious position of Chair of the Germany Sleep Foundation. He has received numerous awards for his innovative work in sleep research, including the Bill Gruen Award for Innovations in Sleep Research. Dr. Fietze's extensive experience, exceptional knowledge, and groundbreaking research make him a leading authority in the field of sleep medicine. His dedication to improving sleep health and his impressive track record of accomplishments solidify his reputation as an outstanding doctor in his field."
Prof. Dr. med. Katharina Beyer,"Prof. Dr. med. Katharina Beyer is a renowned surgeon specializing in general surgery, visceral, and minimally invasive surgery. With extensive experience and a notable career, she has made significant contributions to the field of medicine. Prof. Beyer studied at the prestigious University of Lubeck and became a surgeon at the University Hospital Greifswald. Currently, she serves as the Head Physician of the general and abdominal surgery department at the University Hospital Charite in Berlin, Germany. What sets Prof. Dr. med. Katharina Beyer apart is an impressive publication record, with 898 scientific publications. These publications demonstrate her expertise in various aspects of surgery and highlight her involvement in important research and advancements in the field. One notable focus of her research is the impact of SARS-CoV-2 infection on surgical outcomes, as evidenced by her extensive international prospective cohort studies. Additionally, her work on managing anaphylaxis and the guidelines she has contributed showcase her commitment to patient safety and well-being. Overall, Prof. Dr. med. Katharina Beyer's impressive credentials, years of experience, and dedication to research and innovation make her a highly respected and skilled surgeon. Her contributions to the field of surgery, particularly in general, visceral, and minimally invasive surgery, have earned her a well-deserved reputation as an expert in her field."
Prof. Dr. med. Joachim Spranger,"Prof. Dr. med. Joachim Spranger is a highly experienced doctor specializing in internal medicine and endocrinology. With 27 years of experience, he is well-known for his expertise in the field. He currently works at the University Hospital Charite in Berlin, where he serves as the Director of the Clinic for Endocrinology, Diabetes, and Nutritional Medicine. Additionally, he holds the position of Vice Dean for Studies and Teaching at the same institution. Dr. Spranger's impressive career highlights include being a member of various professional commissions, such as the German Diabetes Society for Nutrition and Diabetes Mellitus. He is also a member of the commissions for Nutrition, Dietetic Products, New Foods & Allergies, Genetically Modified Food, and Feed of the Federal Institute for Risk Assessment. This demonstrates his commitment to staying updated with the latest advancements in his field. Furthermore, Dr. Spranger has an extensive list of 768 scientific publications, which showcases his dedication to research and his contributions to the medical community. His research focuses on genetic testing in inherited endocrine disorders, thyroid hormones as a therapeutic target in non-alcoholic steatohepatitis, and the pathophysiology of COVID-19, among others. With his vast knowledge, experience, and dedication to research, Prof. Dr. med. Joachim Spranger is a highly respected and reliable doctor in the field of internal medicine and endocrinology. His expertise and contributions make him an invaluable asset to the medical community."
Prof. Dr. med. Frank Mockenhaupt,"Prof. Dr. med. Frank Mockenhaupt is a highly experienced doctor specializing in tropical medicine. With an impressive CV that includes being the Head of the Department of Tropical Medicine and International Health at the University Hospital Charite in Berlin, Germany, Prof. Mockenhaupt is a renowned expert in his field. He has dedicated his career to studying and understanding diseases prevalent in tropical regions, such as COVID-19. With over 300 scientific publications to his name, including studies on topics like diabetes, cardiovascular disease, and chronic kidney disease, Prof. Mockenhaupt is recognized for his extensive research contributions. His work has shed light on the pathophysiology of various diseases, and he continues to explore new and innovative treatment approaches. Prof. Mockenhaupt's expertise and dedication make him an excellent choice for patients seeking specialized care in tropical medicine."
"Prof. Dr. med. Antonia Joussen, FEBO","Prof. Dr. med. Antonia Joussen, FEBO, is a highly accomplished ophthalmologist with 24 years of experience in the field. She is currently based in the Department of Ophthalmology at the University Hospital Charite Berlin in Germany. Prof. Dr. Joussen has an impressive career that spans across multiple prestigious institutions. She studied medicine at the Ruhr University in Bochum, the University of Heidelberg, and the University of Vienna. Following her studies, she underwent further training in ophthalmology at various universities, including the University of Cologne, RWTH Aachen University, and the University of Heidelberg. Prof. Dr. Joussen has also held positions as a senior physician and director at different eye clinics. What sets Prof. Dr. Joussen apart is her extensive research and scientific contributions to the field of ophthalmology. She has an impressive list of 547 scientific publications, focusing on various eye conditions and treatments. Her research includes studies on the treatment of uveal melanoma, radiation retinopathy, and age-related macular degeneration, among others. Her expertise and dedication to advancing the field make her an exceptional doctor. In summary, Prof. Dr. Antonia Joussen is a highly experienced ophthalmologist based in Berlin. Her career achievements, including her extensive research and numerous scientific publications, demonstrate her commitment to providing the best possible care for her patients and advancing the field of ophthalmology."
Prof. Dr. med. Johann Pratschke,"Prof. Dr. med. Johann Pratschke is an esteemed doctor specializing in general, pancreatic, organ transplantation, and oncological surgery. With 26 years of experience and 753 scientific publications, his expertise and contributions to the field are highly regarded. Dr. Pratschke's illustrious career includes studying and working in the field of transplant surgery at the prestigious Brigham and Women's Hospital of Harvard Medical School in Boston, USA. He has received numerous awards and recognition for his research, including the Genzyme Research Award for Human Transplant Immunology and the Rudolf Pichlmayr Prize of the German Transplant Society. One of the unique aspects of Dr. Pratschke's career is his involvement in various scientific societies and committees. He is a founding member of the scientific advisory board for the Basic Science Committee, a member of the Transplantation Society, and serves on the advisory board for the European Pancreas Society and Liver Transplant Society. This highlights his commitment to advancing the field of surgery and transplantation. Currently, Dr. Pratschke practices at the University Hospital Charite Berlin in the Department of thoracic, general, and oncological surgery. His extensive knowledge and experience make him a trusted and respected figure in the medical community. Dr. Pratschke's research focuses on topics such as organ transplantation, pancreatic surgery, and oncological surgery, making him a valuable asset in these areas of medicine."
Prof. Dr. med. Kamran Ghoreschi,"Prof. Dr. med. Kamran Ghoreschi is a highly experienced and renowned dermatologist, allergologist, and immunologist. With over 25 years of experience, he has established himself as a leading expert in his field. Currently working at the Department of Dermatology, Venereology, and Allergology at the University Hospital Charite Berlin, he has made significant contributions to medical research and practice. Prof. Dr. Ghoreschi's impressive career includes numerous achievements and qualifications. He obtained his medical degree from Ludwig-Maximilians University in Munich and later pursued advanced research at Leiden University in the Netherlands. He has also completed additional specializations and qualifications in allergology and drug tumor therapy, enhancing his expertise in these areas. With a remarkable publication record of 319 scientific publications, Prof. Dr. Ghoreschi has made valuable contributions to the understanding and treatment of various skin conditions and immune-related disorders. His research focuses on the crosstalk between keratinocytes and adaptive immune cells, COVID-19 immunological regulations, and the role of transcription factors in immune suppression. Prof. Dr. Ghoreschi's extensive experience, expertise, and dedication to advancing dermatology, allergology, and immunology make him an exceptional doctor. His contributions to research, his passion for patient care, and his commitment to improving treatments and outcomes for his patients make him highly regarded in his profession."
PD. Dr. med. Veit Hofmann,"PD. Dr. med. Veit Hofmann is a highly experienced otolaryngologist and head and neck surgeon with 24 years of experience in the field. Currently practicing at the renowned University Hospital Charite in Berlin, Germany, Dr. Hofmann is known for his expertise in otolaryngology and head and neck onco surgery. Dr. Hofmann's career highlights include his extensive education and training at prestigious institutions such as Albert Ludwig University of Freiburg, Humboldt University of Berlin, and the University of Connecticut. He has also served as a specialist and senior physician at various ENT clinics, including the Martin Luther University Halle/Saale and the University Hospital Charite Berlin. With a focus on research and innovation, Dr. Hofmann has published several scientific papers, including studies on the treatment of oropharyngeal carcinoma, pharyngocutaneous fistula, and vestibulopathy. These publications highlight his dedication to advancing the field of otolaryngology and his commitment to providing the best possible care for his patients. As a member of the German Society for ENT Medicine, Dr. Hofmann stays up to date with the latest advancements in his field, ensuring that his patients receive the most effective and cutting-edge treatments available. With his vast experience, specialized knowledge, and research contributions, Dr. Hofmann is considered a highly skilled and trusted ENT specialist."
Prof. Dr. med. Birgit Mazurek,"Prof. Dr. med. Birgit Mazurek is a highly experienced doctor with 28 years of experience specializing in otolaryngology, audiology, and tinnitus. She currently works at the Tinnitus Center in the University Hospital Charite in Berlin, Germany. Dr. Mazurek has an impressive career, having served as the Director of the tinnitus center since 2001 and the Director of the Molecular Biology Research Laboratory at the same hospital since 2004. Not only does Dr. Mazurek have extensive clinical experience, but she is also actively involved in research. She has published 298 scientific publications, which is a testament to her knowledge and expertise in the field. Her research focuses on various aspects of tinnitus, including its pathogenesis and treatment. Some of her notable publications include studies on the use of atorvastatin for tinnitus and the impact of stress on the auditory system. Her involvement in professional organizations further highlights Dr. Mazurek's dedication to her field. She has served as the President of the XI Tinnitus World Congress in 2014 and the President of the 55th Inner Ear Biology Congress in 2018. Additionally, she is the Chairwoman of the Foundation Tinnitus and Hearing Centre. With her extensive experience, research contributions, and leadership roles, Prof. Dr. med. Birgit Mazurek is regarded as an excellent doctor in the field of otolaryngology and audiology. Her expertise in tinnitus makes her a trusted professional for patients seeking treatment and research advancements in this area."
Prof. Dr. med. Volkmar Falk,"Prof. Dr. med. Volkmar Falk is a highly experienced cardiac, thoracic, and vascular surgeon with a remarkable career spanning over 31 years. He obtained his medical degree and Ph. D. from the University of Bonn, and has since held various prestigious positions in renowned institutions around the world. Notably, he has served as the Director of the Cardiovascular Surgery Clinic at the University Hospital Zurich, where he also held the position of professor of cardiac surgery at the University of Zurich. Currently, Prof. Falk is the Medical Director of the German Heart Institute Berlin and the Director of the Department of Cardiothoracic and Vascular Surgery at the University Hospital Charite Berlin. He is widely recognized and respected in his field, and is a member of esteemed professional organizations such as the German Society for Cardiac, Thoracic, and Vascular Surgery, the European Society for Cardiac, Thoracic, and Vascular Surgery, and the European Society for Cardiology. With an impressive track record of 875 scientific publications, Prof. Falk's research focuses on cutting-edge treatments and techniques in cardiac surgery. His expertise in minimally invasive procedures and his dedication to advancing the field have contributed greatly to improving patient outcomes. Prof. Falk's extensive experience, renowned expertise, and commitment to excellence make him an exceptional surgeon who is highly regarded in the medical community."
Prof. Dr. med. Christoph U. Correll,"Prof. Dr. med. Christoph U. Correll is a renowned psychiatrist specializing in psychiatry, psychosomatics, and psychotherapy. With over 30 years of experience, Dr. Correll is highly regarded in his field. He is currently serving as the Professor and Director of the Department of Child and Adolescent Psychiatry, Psychosomatic Medicine, and Psychotherapy at the University Hospital Charite Berlin, located in Germany, Berlin. Dr. Correll has an impressive career, which includes various prestigious positions and awards. He has served as an Assistant Professor and Associate Professor of Psychiatry and Behavioral Sciences at the Albert Einstein College of Medicine in New York. Additionally, he has held important roles as a Co-director and Director of several units at The Zucker Hillside Hospital Advanced Center for Intervention and Services Research. Dr. Correll's expertise in the field is further highlighted by his extensive scientific publications, with a staggering 1194 publications to his name. The unique aspect of Dr. Correll's career lies in his commitment to improving early recognition and intervention in individuals at increased risk for bipolar disorder. He has conducted research on the efficacy of cognitive-behavioral group therapy in patients at risk for serious mental illness, as well as on early specific cognitive-behavioral psychotherapy in individuals at high risk for bipolar disorders. Dr. Correll's work has contributed to better understanding and treatment of mental health conditions, making him a highly respected and sought-after specialist in his field. Overall, Prof. Dr. med. Christoph U. Correll's vast experience, prestigious positions, and dedication to improving mental health care make him an exceptional and trusted psychiatrist. His research contributions in the field of early intervention and treatment for bipolar disorder have had a substantial impact on the field, solidifying his reputation as a leading expert in psychiatry."
Prof. Dr. med. Karin Rothe,"Prof. Dr. med. Karin Rothe is a highly experienced and respected pediatric surgeon with over 43 years of experience. She is currently working at the Department of Pediatric Surgery in the University Hospital Charite Berlin, Germany. Dr. Rothe's impressive career includes a wide range of achievements. She has a diverse educational background, including a medical degree from the University of Leipzig and specialized training in Pediatric Surgery. She holds a doctor's degree and habilitation, with her research focused on topics such as omphalocele and morbidity in pediatric surgery. Throughout her career, Dr. Rothe has made significant contributions to the field of pediatric surgery. She has published 243 scientific papers, which demonstrate her expertise and dedication to advancing medical knowledge. Her research covers various areas, including bacterial content in the human pancreatic duct, fracture treatment in children, and prenatal diagnosis of fetal conditions. Dr. Rothe is a member of several prestigious medical societies, including the German Society of Pediatric Surgery, the German Society of Surgery, and the Association of German Surgeons. This highlights her commitment to staying up-to-date with the latest developments in her field and engaging with the medical community. With her extensive experience, expertise, and an extensive list of scientific publications, Prof. Dr. med. Karin Rothe is considered an outstanding pediatric surgeon. She continues to make valuable contributions to the field, ensuring the well-being and health of her young patients."
